STATE.x,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,STATE.y,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130460,0,1,5,45,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,13,2,2,0,2,2,2,2,67,0,1,5,2017,2,20,47,1,2,3,2,4,CR-4404 JOHNSON FERRY RD,NA,58,33.95510833,-84.41170278,0,8,0,0,1,1,0,1,3,1,0,1,0,0,20,47,20,49,21,23,23,0,0,1,0
13,130460,0,2,5,49,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,13,2,2,0,2,2,2,2,67,0,1,5,2017,2,20,47,1,2,3,2,4,CR-4404 JOHNSON FERRY RD,NA,58,33.95510833,-84.41170278,0,8,0,0,1,1,0,1,3,1,0,1,0,0,20,47,20,49,21,23,23,0,0,1,0
13,130461,0,1,8,69,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,13,1,1,0,1,1,1,1,127,0,1,5,2017,2,20,40,0,1,4,2,4,CR-581 OLD JESUP RD,NA,99999,31.23614722,-81.52839167,0,15,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130462,0,1,5,18,2,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,13,1,1,0,1,1,1,1,257,0,1,5,2017,2,23,55,0,1,5,2,4,CR-421 RED ROCK RD,NA,8,34.58411944,-83.24253611,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130464,0,1,5,53,1,0,0,0,760,0,2,7,3,7,9,7,4,3,9,99,750,0,13,1,1,0,1,1,5,5,153,5790,2,5,2017,3,0,1,1,2,3,1,3,SR-247CO,KNODISHALL DR,34,32.618275,-83.65958056,0,8,0,0,3,2,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0
13,130479,0,1,5,19,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,219,0,5,5,2017,6,3,52,0,1,3,1,2,US-78 SR-10LO,NA,99999,33.91546944,-83.42350833,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130487,0,1,5,28,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,13,1,1,0,2,2,2,2,245,310,7,5,2017,1,21,47,0,2,4,1,3,SR-56 MIKE PADGETT HWY,NA,35,33.29063333,-81.95902778,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,2,0
13,130487,0,2,5,19,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,13,1,1,0,2,2,2,2,245,310,7,5,2017,1,21,47,0,2,4,1,3,SR-56 MIKE PADGETT HWY,NA,35,33.29063333,-81.95902778,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,99,99,99,99,0,0,0,2,0
13,130491,0,1,5,54,1,0,0,0,220,0,3,7,4,7,8,7,8,8,8,8,100,0,13,1,1,0,1,1,0,0,119,3090,8,5,2017,2,5,43,0,1,7,4,6,RANDALL ST,NA,2,34.42830278,-83.09915278,0,7,0,0,1,1,0,1,2,1,0,1,0,0,5,27,5,33,5,47,0,0,0,1,0
13,130509,0,1,5,48,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,271,0,12,5,2017,6,23,35,1,1,3,1,2,US-441 SR-31,NA,25,31.82932778,-82.97726944,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
